enhancer	genes
humGainReg2610	ENSG00000272114,ENSG00000112715,ENSG00000223469
humGainReg2611	ENSG00000272114,ENSG00000112715,ENSG00000223469,ENSG00000237686,ENSG00000181577,ENSG00000265518,ENSG00000237686,ENSG00000231881,ENSG00000183239
humGainReg2612	ENSG00000172426,ENSG00000272114,ENSG00000112715,ENSG00000223469,ENSG00000237686,ENSG00000181577,ENSG00000265518,ENSG00000237686,ENSG00000231881,ENSG00000183239
humGainReg2619	ENSG00000261116
humGainReg2620	ENSG00000272316
humGainReg2636	ENSG00000227502
humGainReg2649	ENSG00000201119
humGainReg2652	ENSG00000178199,ENSG00000219553,ENSG00000252244,ENSG00000131013
humGainReg2657	ENSG00000120256,ENSG00000268592
humGainReg2692	ENSG00000026297
humGainReg2698	ENSG00000008018,ENSG00000112592,ENSG00000071994
humGainReg2709	ENSG00000164877,ENSG00000225981
humGainReg2710	ENSG00000164877,ENSG00000225981
humGainReg2723	ENSG00000011275
humGainReg2739	ENSG00000106128
humGainReg2741	ENSG00000173852
humGainReg2742	ENSG00000189212
humGainReg2746	ENSG00000189212,ENSG00000232930,ENSG00000229679
humGainReg2752	ENSG00000106571,ENSG00000238284,ENSG00000231539
humGainReg2753	ENSG00000106571
humGainReg2757	ENSG00000228434,ENSG00000136206,ENSG00000214783,ENSG00000273432,ENSG00000272655
humGainReg2769	ENSG00000176826
humGainReg2781	ENSG00000006704,ENSG00000196275,ENSG00000165178
humGainReg2782	ENSG00000183086,ENSG00000242073,ENSG00000135213,ENSG00000170092,ENSG00000250778,ENSG00000238560,ENSG00000230305
humGainReg2797	ENSG00000257923,ENSG00000256295,ENSG00000258093,ENSG00000252824
humGainReg2813	ENSG00000272601,ENSG00000165055
humGainReg2816	ENSG00000224545
humGainReg2821	ENSG00000224545
humGainReg2822	ENSG00000221866
humGainReg2845	ENSG00000260555
humGainReg285	ENSG00000224834
humGainReg286	ENSG00000196187,ENSG00000243709
humGainReg2861	ENSG00000147364
