Gene	ModuleAssignment	Blocks	intramodule.Connectivity..unpowered.	HubGenes	external_gene_name
ENSG00000019505	3	1	2152.414984	 	SYT13
ENSG00000019549	6	1	1167.26317	 	SNAI2
ENSG00000019582	6	1	786.8216948	 	CD74
ENSG00000019991	2	1	2464.428703	 	HGF
ENSG00000019995	8	2	672.2796199	 	ZRANB1
ENSG00000020129	4	2	2012.091035	 	NCDN
ENSG00000020181	10	1	464.5571024	hub10;hub5	ADGRA2
ENSG00000020219	0	3	305.8197258	 	CCT8L1P
ENSG00000020256	7	2	908.4444199	 	ZFP64
ENSG00000020426	4	2	1752.418574	 	MNAT1
ENSG00000020577	3	1	2332.430106	 	SAMD4A
ENSG00000020633	6	1	818.3346325	 	RUNX3
ENSG00000020922	3	1	2590.362264	 	MRE11
ENSG00000021300	2	1	3209.685973	 	PLEKHB1
ENSG00000021355	6	1	1029.022325	 	SERPINB1
ENSG00000021461	0	2	305.9673396	 	CYP3A43
ENSG00000021488	5	2	1191.749218	 	SLC7A9
ENSG00000021574	16	1	236.9485595	hub10;hub5	SPAST
ENSG00000021645	15	3	231.925463	 	NRXN3
ENSG00000021762	4	2	2125.740265	hub10	OSBPL5
ENSG00000021776	3	1	2404.551076	 	AQR
ENSG00000021826	10	1	445.8042908	hub10	CPS1
ENSG00000021852	1	3	4105.124399	 	C8B
ENSG00000022267	6	1	402.7147087	 	FHL1
ENSG00000022277	2	2	3027.421277	 	RTF2
ENSG00000022355	25	3	129.9884995	 	GABRA1
ENSG00000022556	4	2	1249.591871	 	NLRP2
ENSG00000022567	4	2	1889.423252	 	SLC45A4
ENSG00000022840	4	2	1970.360028	 	RNF10
ENSG00000022976	7	2	822.5074663	 	ZNF839
ENSG00000023041	4	2	2018.436119	 	ZDHHC6
ENSG00000023171	4	2	1937.364366	 	GRAMD1B
ENSG00000023191	2	1	1718.743955	 	RNH1
ENSG00000023228	3	1	1431.482413	 	NDUFS1
ENSG00000023287	16	1	242.2169593	hub10;hub5	RB1CC1
ENSG00000023318	9	2	500.9563528	 	ERP44
ENSG00000023330	2	1	2757.265652	 	ALAS1
ENSG00000023445	6	1	791.6402884	 	BIRC3
ENSG00000023516	2	1	2767.143849	 	AKAP11
ENSG00000023572	7	2	949.1762651	 	GLRX2
ENSG00000023608	2	1	2936.249472	 	SNAPC1
ENSG00000023697	4	2	2068.917594	 	DERA
ENSG00000023734	4	2	2159.440614	hub10	STRAP
ENSG00000023839	5	1	1119.105769	 	ABCC2
ENSG00000023892	46	2	57.04812649	 	DEF6
ENSG00000023902	2	1	1797.816942	 	PLEKHO1
ENSG00000023909	19	2	208.7247636	 	GCLM
ENSG00000024048	22	2	164.5795711	hub10;hub5	UBR2
ENSG00000024422	10	1	446.7004261	hub10	EHD2
ENSG00000024526	2	1	3587.480846	hub10;hub5	DEPDC1
ENSG00000024862	3	1	2655.457253	 	CCDC28A
ENSG00000025039	3	1	1448.037903	 	RRAGD
ENSG00000025156	7	2	1048.366276	 	HSF2
ENSG00000025293	2	1	3091.847683	 	PHF20
ENSG00000025423	2	1	3125.172989	 	HSD17B6
ENSG00000025434	2	1	3196.327759	 	NR1H3
ENSG00000025708	0	2	351.1308473	 	TYMP
ENSG00000025770	2	1	3252.294599	 	NCAPH2
ENSG00000025772	5	1	1093.808505	 	TOMM34
ENSG00000025796	9	2	407.9765576	 	SEC63
ENSG00000025800	5	1	1049.663318	 	KPNA6
ENSG00000026025	2	1	3526.036215	hub10;hub5	VIM
ENSG00000026036	5	2	1429.556988	hub10;hub5	RTEL1-TNFRSF6B
ENSG00000026103	3	1	1414.346112	 	FAS
ENSG00000026297	6	1	684.8680416	 	RNASET2
ENSG00000026508	3	1	2217.824308	 	CD44
ENSG00000026559	4	2	1594.287476	 	KCNG1
ENSG00000026652	8	2	815.2861239	hub10;hub5	AGPAT4
ENSG00000026751	1	3	4641.188551	 	SLAMF7
ENSG00000026950	36	1	98.57375468	 	BTN3A1
ENSG00000027001	2	2	2547.119066	 	MIPEP
ENSG00000027075	6	1	864.5640349	 	PRKCH
ENSG00000027644	10	1	322.6195658	 	INSRR
ENSG00000027697	4	2	1734.687116	 	IFNGR1
ENSG00000027847	0	1	443.1753153	 	B4GALT7
ENSG00000027869	2	1	2250.724111	 	SH2D2A
ENSG00000028116	2	1	1581.531947	 	VRK2
ENSG00000028137	10	1	393.5804057	 	TNFRSF1B
ENSG00000028203	7	2	797.1094936	 	VEZT
ENSG00000028277	4	2	1980.204583	 	POU2F2
ENSG00000028310	7	2	888.9899215	 	BRD9
ENSG00000028528	3	1	2652.464027	 	SNX1
ENSG00000028839	7	2	1130.933234	hub10;hub5	TBPL1
ENSG00000029153	6	1	352.9501672	 	ARNTL2
ENSG00000029363	19	2	168.3683411	 	BCLAF1
ENSG00000029364	4	2	1290.432248	 	SLC39A9
ENSG00000029534	2	1	1744.93767	 	ANK1
ENSG00000029559	14	1	219.1983342	 	IBSP
ENSG00000029639	0	1	387.0032154	 	TFB1M
ENSG00000029725	16	1	199.7046993	 	RABEP1
ENSG00000029993	2	1	3381.286299	 	HMGB3
ENSG00000030066	3	1	2101.040772	 	NUP160
ENSG00000030110	2	1	3029.805529	 	BAK1
ENSG00000030304	1	3	4073.730747	 	MUSK
ENSG00000030419	36	1	87.68153838	 	IKZF2
ENSG00000030582	3	1	2035.444449	 	GRN
ENSG00000031003	22	1	142.4314217	 	FAM13B
ENSG00000031081	6	1	1041.348742	 	ARHGAP31
ENSG00000031544	5	2	859.7822989	 	NA
ENSG00000031691	2	1	3560.133791	hub10;hub5	CENPQ
ENSG00000031698	8	2	645.6612973	 	SARS
ENSG00000031823	7	2	1060.12026	 	RANBP3
ENSG00000032219	2	1	2277.412715	 	ARID4A
ENSG00000032389	9	2	390.2902131	 	EIPR1
ENSG00000032444	9	2	520.8283818	hub10	PNPLA6
ENSG00000032742	4	2	1697.517581	 	IFT88
